--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 4.1 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 75] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 76] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 77] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 78] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 79] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 80] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 81] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 82] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161758 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 83] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 84] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 85] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 86] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 87] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 88] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 89] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 90] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 91] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 92] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 93] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161758 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 94] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 95] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 96] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 97] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 98] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 99] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 100] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 101] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 102] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 103] sent: 666.1 MB, received: 662.5 MB, requests: 162632, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 104] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161742 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 105] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 106] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 107] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 108] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 109] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 110] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 111] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 112] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 113] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161758 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 114] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 115] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 116] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 117] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 118] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 119] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 120] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 121] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 122] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 123] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 124] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 125] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161758 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 126] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 127] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 128] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 129] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 130] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 131] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161742 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 132] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 133] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 134] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 135] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 136] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 137] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 138] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161742 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 139] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 140] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 141] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 142] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161742 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 143] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 144] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 145] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 146] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 147] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 148] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 149] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 150] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161742 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 151] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 152] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 153] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161742 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 154] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161758 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 155] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 156] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161742 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 157] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 158] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 159] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 160] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 161] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 162] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 163] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 164] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 165] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 166] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 167] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161758 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 168] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
