--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 53] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 54] sent: 1.5 GB, received: 1.5 GB, requests: 15018, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 55] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 56] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 57] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 58] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 59] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 60] sent: 1.5 GB, received: 1.5 GB, requests: 15033, responses: 14932 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 61] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 62] sent: 1.5 GB, received: 1.5 GB, requests: 15020, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 63] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 64] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 65] sent: 1.5 GB, received: 1.5 GB, requests: 15033, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 66] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14925 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 67] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 68] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 69] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 70] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 71] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 72] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 73] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 74] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 75] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 76] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 77] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 78] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 79] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 80] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 81] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 82] sent: 1.5 GB, received: 1.5 GB, requests: 15018, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 83] sent: 1.5 GB, received: 1.5 GB, requests: 15037, responses: 14938 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 84] sent: 1.5 GB, received: 1.5 GB, requests: 15018, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 85] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 86] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 87] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 88] sent: 1.5 GB, received: 1.5 GB, requests: 15015, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 89] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 90] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14925 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 91] sent: 1.5 GB, received: 1.5 GB, requests: 15029, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 92] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 93] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 94] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 95] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 96] sent: 1.5 GB, received: 1.5 GB, requests: 15020, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 97] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 98] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 99] sent: 1.5 GB, received: 1.5 GB, requests: 15018, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 100] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 101] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14926 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 102] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 103] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 104] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 105] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14926 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 106] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 107] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 108] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 109] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 110] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 111] sent: 1.5 GB, received: 1.5 GB, requests: 15019, responses: 14925 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 112] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 113] sent: 1.5 GB, received: 1.5 GB, requests: 15033, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 114] sent: 1.5 GB, received: 1.5 GB, requests: 15025, responses: 14926 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 115] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 116] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 117] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 118] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 119] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 120] sent: 1.5 GB, received: 1.5 GB, requests: 15018, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 121] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 122] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 123] sent: 1.5 GB, received: 1.5 GB, requests: 15018, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 124] sent: 1.5 GB, received: 1.5 GB, requests: 15020, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 125] sent: 1.5 GB, received: 1.5 GB, requests: 15020, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 126] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 127] sent: 1.5 GB, received: 1.5 GB, requests: 15015, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 128] sent: 1.5 GB, received: 1.5 GB, requests: 15033, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 129] sent: 1.5 GB, received: 1.5 GB, requests: 15031, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 130] sent: 1.5 GB, received: 1.5 GB, requests: 15033, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 131] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 132] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 133] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 134] sent: 1.5 GB, received: 1.5 GB, requests: 15024, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 135] sent: 1.5 GB, received: 1.5 GB, requests: 15020, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 136] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 137] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 138] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 139] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 140] sent: 1.5 GB, received: 1.5 GB, requests: 15016, responses: 14926 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 141] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 142] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 143] sent: 1.5 GB, received: 1.5 GB, requests: 15016, responses: 14926 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 144] sent: 1.5 GB, received: 1.5 GB, requests: 15031, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 145] sent: 1.5 GB, received: 1.5 GB, requests: 15015, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 146] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 147] sent: 1.5 GB, received: 1.5 GB, requests: 15033, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 148] sent: 1.5 GB, received: 1.5 GB, requests: 15031, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 149] sent: 1.5 GB, received: 1.5 GB, requests: 15033, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 150] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 151] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 152] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 153] sent: 1.5 GB, received: 1.5 GB, requests: 15027, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 154] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 155] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 156] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 157] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 158] sent: 1.5 GB, received: 1.5 GB, requests: 15021, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 159] sent: 1.5 GB, received: 1.5 GB, requests: 15026, responses: 14926 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 160] sent: 1.5 GB, received: 1.5 GB, requests: 15020, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 161] sent: 1.5 GB, received: 1.5 GB, requests: 15017, responses: 14927 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 162] sent: 1.5 GB, received: 1.5 GB, requests: 15022, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 163] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14932 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 164] sent: 1.5 GB, received: 1.5 GB, requests: 15023, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 165] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 166] sent: 1.5 GB, received: 1.5 GB, requests: 15032, responses: 14933 sent/sec: 8.4 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
[Conn 167] sent: 1.5 GB, received: 1.5 GB, requests: 15028, responses: 14933 sent/sec: 8.3 MB recv/sec 8.3 MB req/sec: 83 res/sec 82
