--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 512 B	duration: 3m0s	connections: 512
Connection metrics:
[Conn 63] sent: 762.3 MB, received: 758.2 MB, requests: 1488853, responses: 1480773 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8271 res/sec 8226
[Conn 64] sent: 764.5 MB, received: 758.2 MB, requests: 1493184, responses: 1480915 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8295 res/sec 8227
[Conn 65] sent: 764.5 MB, received: 758.1 MB, requests: 1493156, responses: 1480759 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8295 res/sec 8226
[Conn 66] sent: 764.5 MB, received: 758.1 MB, requests: 1493220, responses: 1480695 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8295 res/sec 8226
[Conn 67] sent: 764.8 MB, received: 758.1 MB, requests: 1493668, responses: 1480632 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8298 res/sec 8225
[Conn 68] sent: 762.2 MB, received: 758.1 MB, requests: 1488725, responses: 1480709 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8270 res/sec 8226
[Conn 69] sent: 763.3 MB, received: 757.9 MB, requests: 1490790, responses: 1480184 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8282 res/sec 8223
[Conn 70] sent: 764.6 MB, received: 758.2 MB, requests: 1493456, responses: 1480931 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8296 res/sec 8227
[Conn 71] sent: 763.8 MB, received: 758.2 MB, requests: 1491879, responses: 1480886 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8288 res/sec 8227
[Conn 72] sent: 764.6 MB, received: 758.1 MB, requests: 1493284, responses: 1480632 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8296 res/sec 8225
[Conn 73] sent: 763.8 MB, received: 758.0 MB, requests: 1491877, responses: 1480376 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8288 res/sec 8224
[Conn 74] sent: 761.9 MB, received: 758.2 MB, requests: 1488085, responses: 1480837 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8267 res/sec 8226
[Conn 75] sent: 762.0 MB, received: 758.2 MB, requests: 1488341, responses: 1480837 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8268 res/sec 8226
