--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 81] sent: 334.6 MB, received: 331.7 MB, requests: 1306901, responses: 1295733 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7260 res/sec 7198
[Conn 82] sent: 336.7 MB, received: 331.4 MB, requests: 1315321, responses: 1294353 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7307 res/sec 7190
[Conn 83] sent: 337.3 MB, received: 331.6 MB, requests: 1317495, responses: 1295313 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7319 res/sec 7196
[Conn 84] sent: 335.2 MB, received: 331.8 MB, requests: 1309336, responses: 1296120 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7274 res/sec 7200
[Conn 85] sent: 334.8 MB, received: 331.2 MB, requests: 1307793, responses: 1293937 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7265 res/sec 7188
[Conn 86] sent: 337.6 MB, received: 331.2 MB, requests: 1318648, responses: 1293937 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7325 res/sec 7188
[Conn 87] sent: 337.2 MB, received: 331.0 MB, requests: 1317241, responses: 1292945 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7318 res/sec 7183
[Conn 88] sent: 334.6 MB, received: 331.6 MB, requests: 1306903, responses: 1295351 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7260 res/sec 7196
[Conn 89] sent: 336.8 MB, received: 331.4 MB, requests: 1315579, responses: 1294449 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7308 res/sec 7191
[Conn 90] sent: 334.9 MB, received: 331.5 MB, requests: 1308055, responses: 1294967 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7266 res/sec 7194
[Conn 91] sent: 337.0 MB, received: 331.7 MB, requests: 1316346, responses: 1295636 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7313 res/sec 7197
[Conn 92] sent: 337.5 MB, received: 331.3 MB, requests: 1318391, responses: 1294321 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7324 res/sec 7190
[Conn 93] sent: 335.2 MB, received: 331.8 MB, requests: 1309207, responses: 1296119 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7273 res/sec 7200
[Conn 94] sent: 337.4 MB, received: 331.9 MB, requests: 1317881, responses: 1296401 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7321 res/sec 7202
[Conn 95] sent: 334.9 MB, received: 331.3 MB, requests: 1308305, responses: 1294065 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7268 res/sec 7189
[Conn 96] sent: 336.8 MB, received: 331.0 MB, requests: 1315451, responses: 1292945 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7308 res/sec 7183
[Conn 97] sent: 336.9 MB, received: 331.4 MB, requests: 1316091, responses: 1294609 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7311 res/sec 7192
[Conn 98] sent: 334.7 MB, received: 331.6 MB, requests: 1307541, responses: 1295477 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7197
[Conn 99] sent: 335.0 MB, received: 331.8 MB, requests: 1308695, responses: 1296247 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7270 res/sec 7201
[Conn 100] sent: 334.9 MB, received: 331.5 MB, requests: 1308055, responses: 1294967 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7266 res/sec 7194
[Conn 101] sent: 337.4 MB, received: 331.7 MB, requests: 1318137, responses: 1295636 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7322 res/sec 7197
[Conn 102] sent: 337.5 MB, received: 331.3 MB, requests: 1318520, responses: 1293969 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7325 res/sec 7188
[Conn 103] sent: 336.7 MB, received: 331.4 MB, requests: 1315321, responses: 1294353 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7307 res/sec 7190
[Conn 104] sent: 335.1 MB, received: 331.0 MB, requests: 1308823, responses: 1293047 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7271 res/sec 7183
[Conn 105] sent: 333.9 MB, received: 331.1 MB, requests: 1304465, responses: 1293169 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7247 res/sec 7184
[Conn 106] sent: 337.6 MB, received: 331.6 MB, requests: 1318650, responses: 1295381 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7325 res/sec 7196
[Conn 107] sent: 337.3 MB, received: 331.8 MB, requests: 1317498, responses: 1296020 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7319 res/sec 7200
[Conn 108] sent: 335.2 MB, received: 331.5 MB, requests: 1309335, responses: 1295095 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7274 res/sec 7194
[Conn 109] sent: 334.8 MB, received: 331.3 MB, requests: 1307927, responses: 1294327 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7266 res/sec 7190
[Conn 110] sent: 337.7 MB, received: 331.7 MB, requests: 1319032, responses: 1295795 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7327 res/sec 7198
[Conn 111] sent: 335.0 MB, received: 331.3 MB, requests: 1308561, responses: 1294321 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7269 res/sec 7190
[Conn 112] sent: 335.2 MB, received: 331.4 MB, requests: 1309336, responses: 1294712 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7274 res/sec 7192
[Conn 113] sent: 337.9 MB, received: 331.6 MB, requests: 1319928, responses: 1295381 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7332 res/sec 7196
[Conn 114] sent: 337.9 MB, received: 331.8 MB, requests: 1319799, responses: 1296083 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7332 res/sec 7200
[Conn 115] sent: 337.5 MB, received: 331.5 MB, requests: 1318262, responses: 1294962 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7323 res/sec 7194
[Conn 116] sent: 334.7 MB, received: 331.1 MB, requests: 1307537, responses: 1293169 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7184
[Conn 117] sent: 335.1 MB, received: 331.1 MB, requests: 1308823, responses: 1293431 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7271 res/sec 7185
