--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 4.1 kB	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 116] sent: 23.8 MB, received: 23.8 MB, requests: 5804, responses: 5799 sent/sec: 132.1 kB recv/sec 132.0 kB req/sec: 32 res/sec 32
[Conn 117] sent: 23.6 MB, received: 23.6 MB, requests: 5767, responses: 5762 sent/sec: 131.2 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 118] sent: 23.5 MB, received: 23.5 MB, requests: 5741, responses: 5736 sent/sec: 130.6 kB recv/sec 130.5 kB req/sec: 31 res/sec 31
[Conn 119] sent: 23.6 MB, received: 23.6 MB, requests: 5759, responses: 5754 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 120] sent: 23.8 MB, received: 23.8 MB, requests: 5805, responses: 5800 sent/sec: 132.1 kB recv/sec 132.0 kB req/sec: 32 res/sec 32
[Conn 121] sent: 23.6 MB, received: 23.5 MB, requests: 5751, responses: 5746 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 122] sent: 23.6 MB, received: 23.6 MB, requests: 5764, responses: 5760 sent/sec: 131.2 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 123] sent: 23.8 MB, received: 23.8 MB, requests: 5822, responses: 5817 sent/sec: 132.5 kB recv/sec 132.4 kB req/sec: 32 res/sec 32
[Conn 124] sent: 23.7 MB, received: 23.7 MB, requests: 5788, responses: 5784 sent/sec: 131.7 kB recv/sec 131.6 kB req/sec: 32 res/sec 32
[Conn 125] sent: 23.8 MB, received: 23.8 MB, requests: 5820, responses: 5815 sent/sec: 132.4 kB recv/sec 132.3 kB req/sec: 32 res/sec 32
[Conn 126] sent: 23.6 MB, received: 23.6 MB, requests: 5759, responses: 5754 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 127] sent: 23.6 MB, received: 23.5 MB, requests: 5752, responses: 5747 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 128] sent: 23.8 MB, received: 23.8 MB, requests: 5818, responses: 5814 sent/sec: 132.4 kB recv/sec 132.3 kB req/sec: 32 res/sec 32
[Conn 129] sent: 23.7 MB, received: 23.7 MB, requests: 5786, responses: 5781 sent/sec: 131.7 kB recv/sec 131.5 kB req/sec: 32 res/sec 32
[Conn 130] sent: 23.6 MB, received: 23.6 MB, requests: 5773, responses: 5768 sent/sec: 131.4 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 131] sent: 23.8 MB, received: 23.7 MB, requests: 5802, responses: 5797 sent/sec: 132.0 kB recv/sec 131.9 kB req/sec: 32 res/sec 32
[Conn 132] sent: 23.6 MB, received: 23.6 MB, requests: 5756, responses: 5752 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 133] sent: 23.8 MB, received: 23.7 MB, requests: 5800, responses: 5795 sent/sec: 132.0 kB recv/sec 131.9 kB req/sec: 32 res/sec 32
[Conn 134] sent: 23.7 MB, received: 23.7 MB, requests: 5789, responses: 5786 sent/sec: 131.7 kB recv/sec 131.7 kB req/sec: 32 res/sec 32
[Conn 135] sent: 23.7 MB, received: 23.7 MB, requests: 5778, responses: 5775 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 136] sent: 23.7 MB, received: 23.7 MB, requests: 5787, responses: 5783 sent/sec: 131.7 kB recv/sec 131.6 kB req/sec: 32 res/sec 32
[Conn 137] sent: 23.9 MB, received: 23.9 MB, requests: 5833, responses: 5827 sent/sec: 132.7 kB recv/sec 132.6 kB req/sec: 32 res/sec 32
[Conn 138] sent: 23.8 MB, received: 23.8 MB, requests: 5813, responses: 5807 sent/sec: 132.3 kB recv/sec 132.1 kB req/sec: 32 res/sec 32
[Conn 139] sent: 23.5 MB, received: 23.5 MB, requests: 5744, responses: 5739 sent/sec: 130.7 kB recv/sec 130.6 kB req/sec: 31 res/sec 31
[Conn 140] sent: 23.6 MB, received: 23.5 MB, requests: 5751, responses: 5747 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 141] sent: 23.7 MB, received: 23.7 MB, requests: 5793, responses: 5789 sent/sec: 131.8 kB recv/sec 131.7 kB req/sec: 32 res/sec 32
[Conn 142] sent: 23.6 MB, received: 23.6 MB, requests: 5756, responses: 5753 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 143] sent: 23.6 MB, received: 23.6 MB, requests: 5753, responses: 5750 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 144] sent: 23.8 MB, received: 23.8 MB, requests: 5808, responses: 5803 sent/sec: 132.2 kB recv/sec 132.1 kB req/sec: 32 res/sec 32
[Conn 145] sent: 23.9 MB, received: 23.8 MB, requests: 5826, responses: 5822 sent/sec: 132.6 kB recv/sec 132.5 kB req/sec: 32 res/sec 32
[Conn 146] sent: 23.6 MB, received: 23.6 MB, requests: 5763, responses: 5759 sent/sec: 131.1 kB recv/sec 131.0 kB req/sec: 32 res/sec 31
[Conn 147] sent: 23.6 MB, received: 23.6 MB, requests: 5768, responses: 5764 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 148] sent: 23.7 MB, received: 23.7 MB, requests: 5778, responses: 5774 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 149] sent: 23.6 MB, received: 23.6 MB, requests: 5764, responses: 5759 sent/sec: 131.2 kB recv/sec 131.0 kB req/sec: 32 res/sec 31
[Conn 150] sent: 23.7 MB, received: 23.7 MB, requests: 5795, responses: 5790 sent/sec: 131.9 kB recv/sec 131.8 kB req/sec: 32 res/sec 32
[Conn 151] sent: 23.7 MB, received: 23.7 MB, requests: 5778, responses: 5774 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 152] sent: 23.7 MB, received: 23.7 MB, requests: 5790, responses: 5786 sent/sec: 131.8 kB recv/sec 131.7 kB req/sec: 32 res/sec 32
[Conn 153] sent: 23.7 MB, received: 23.6 MB, requests: 5776, responses: 5770 sent/sec: 131.4 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 154] sent: 23.8 MB, received: 23.7 MB, requests: 5801, responses: 5796 sent/sec: 132.0 kB recv/sec 131.9 kB req/sec: 32 res/sec 32
[Conn 155] sent: 23.6 MB, received: 23.6 MB, requests: 5759, responses: 5755 sent/sec: 131.0 kB recv/sec 131.0 kB req/sec: 31 res/sec 31
[Conn 156] sent: 23.7 MB, received: 23.6 MB, requests: 5777, responses: 5772 sent/sec: 131.5 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 157] sent: 23.7 MB, received: 23.6 MB, requests: 5777, responses: 5772 sent/sec: 131.5 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 158] sent: 23.6 MB, received: 23.6 MB, requests: 5771, responses: 5768 sent/sec: 131.3 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 159] sent: 23.7 MB, received: 23.7 MB, requests: 5779, responses: 5774 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 160] sent: 23.7 MB, received: 23.7 MB, requests: 5791, responses: 5787 sent/sec: 131.8 kB recv/sec 131.7 kB req/sec: 32 res/sec 32
[Conn 161] sent: 23.7 MB, received: 23.7 MB, requests: 5783, responses: 5779 sent/sec: 131.6 kB recv/sec 131.5 kB req/sec: 32 res/sec 32
[Conn 162] sent: 23.6 MB, received: 23.6 MB, requests: 5769, responses: 5763 sent/sec: 131.3 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 163] sent: 23.7 MB, received: 23.7 MB, requests: 5787, responses: 5784 sent/sec: 131.7 kB recv/sec 131.6 kB req/sec: 32 res/sec 32
[Conn 164] sent: 23.8 MB, received: 23.7 MB, requests: 5801, responses: 5796 sent/sec: 132.0 kB recv/sec 131.9 kB req/sec: 32 res/sec 32
[Conn 165] sent: 23.6 MB, received: 23.6 MB, requests: 5755, responses: 5750 sent/sec: 131.0 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 166] sent: 23.5 MB, received: 23.5 MB, requests: 5749, responses: 5745 sent/sec: 130.8 kB recv/sec 130.7 kB req/sec: 31 res/sec 31
[Conn 167] sent: 23.6 MB, received: 23.6 MB, requests: 5769, responses: 5764 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 168] sent: 23.6 MB, received: 23.6 MB, requests: 5766, responses: 5762 sent/sec: 131.2 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
