--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 53] sent: 23.6 MB, received: 23.2 MB, requests: 92056, responses: 90458 sent/sec: 130.9 kB recv/sec 128.7 kB req/sec: 511 res/sec 502
[Conn 54] sent: 23.9 MB, received: 23.0 MB, requests: 93464, responses: 89976 sent/sec: 132.9 kB recv/sec 128.0 kB req/sec: 519 res/sec 499
[Conn 55] sent: 23.6 MB, received: 23.2 MB, requests: 92056, responses: 90490 sent/sec: 130.9 kB recv/sec 128.7 kB req/sec: 511 res/sec 502
[Conn 56] sent: 23.3 MB, received: 23.1 MB, requests: 91160, responses: 90082 sent/sec: 129.6 kB recv/sec 128.1 kB req/sec: 506 res/sec 500
[Conn 57] sent: 23.3 MB, received: 23.1 MB, requests: 91160, responses: 90171 sent/sec: 129.6 kB recv/sec 128.2 kB req/sec: 506 res/sec 500
[Conn 58] sent: 25.3 MB, received: 23.1 MB, requests: 98969, responses: 90074 sent/sec: 140.8 kB recv/sec 128.1 kB req/sec: 549 res/sec 500
[Conn 59] sent: 23.4 MB, received: 23.1 MB, requests: 91247, responses: 90135 sent/sec: 129.8 kB recv/sec 128.2 kB req/sec: 506 res/sec 500
[Conn 60] sent: 25.3 MB, received: 23.1 MB, requests: 98840, responses: 90162 sent/sec: 140.6 kB recv/sec 128.2 kB req/sec: 549 res/sec 500
[Conn 61] sent: 23.9 MB, received: 23.1 MB, requests: 93336, responses: 90162 sent/sec: 132.7 kB recv/sec 128.2 kB req/sec: 518 res/sec 500
[Conn 62] sent: 23.6 MB, received: 23.2 MB, requests: 92139, responses: 90571 sent/sec: 131.0 kB recv/sec 128.8 kB req/sec: 511 res/sec 503
[Conn 63] sent: 25.3 MB, received: 23.1 MB, requests: 98968, responses: 90104 sent/sec: 140.8 kB recv/sec 128.1 kB req/sec: 549 res/sec 500
[Conn 64] sent: 25.2 MB, received: 23.2 MB, requests: 98329, responses: 90721 sent/sec: 139.8 kB recv/sec 129.0 kB req/sec: 546 res/sec 504
[Conn 65] sent: 24.0 MB, received: 23.1 MB, requests: 93848, responses: 90326 sent/sec: 133.5 kB recv/sec 128.5 kB req/sec: 521 res/sec 501
[Conn 66] sent: 25.2 MB, received: 23.1 MB, requests: 98328, responses: 90177 sent/sec: 139.8 kB recv/sec 128.3 kB req/sec: 546 res/sec 500
[Conn 67] sent: 23.4 MB, received: 23.1 MB, requests: 91544, responses: 90356 sent/sec: 130.2 kB recv/sec 128.5 kB req/sec: 508 res/sec 501
