--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 49] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288948ms
[Conn 50] sent: 1.2 GB, received: 1.2 GB, requests: 11837, responses: 11762 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.28866ms
[Conn 51] sent: 1.2 GB, received: 1.2 GB, requests: 11860, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.291272ms
[Conn 52] sent: 1.2 GB, received: 1.2 GB, requests: 11855, responses: 11753 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.28922ms
[Conn 53] sent: 1.2 GB, received: 1.2 GB, requests: 11852, responses: 11750 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288561ms
[Conn 54] sent: 1.2 GB, received: 1.2 GB, requests: 11853, responses: 11751 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290059ms
[Conn 55] sent: 1.2 GB, received: 1.2 GB, requests: 11856, responses: 11754 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289618ms
[Conn 56] sent: 1.2 GB, received: 1.2 GB, requests: 11859, responses: 11757 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289894ms
[Conn 57] sent: 1.2 GB, received: 1.2 GB, requests: 11848, responses: 11746 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290157ms
[Conn 58] sent: 1.2 GB, received: 1.2 GB, requests: 11860, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289568ms
[Conn 59] sent: 1.2 GB, received: 1.2 GB, requests: 11852, responses: 11762 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289578ms
[Conn 60] sent: 1.2 GB, received: 1.2 GB, requests: 11839, responses: 11749 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288016ms
[Conn 61] sent: 1.2 GB, received: 1.2 GB, requests: 11856, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.28759ms
