--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 68] sent: 1.4 GB, received: 1.4 GB, requests: 14271, responses: 14169 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684302ms
[Conn 69] sent: 1.4 GB, received: 1.4 GB, requests: 14279, responses: 14176 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683626ms
[Conn 70] sent: 1.4 GB, received: 1.4 GB, requests: 14276, responses: 14173 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.680642ms
[Conn 71] sent: 1.4 GB, received: 1.4 GB, requests: 14283, responses: 14180 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684163ms
[Conn 72] sent: 1.4 GB, received: 1.4 GB, requests: 14267, responses: 14164 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.686882ms
[Conn 73] sent: 1.4 GB, received: 1.4 GB, requests: 14276, responses: 14173 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.685454ms
[Conn 74] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681573ms
[Conn 75] sent: 1.4 GB, received: 1.4 GB, requests: 14281, responses: 14178 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.680221ms
[Conn 76] sent: 1.4 GB, received: 1.4 GB, requests: 14275, responses: 14172 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681943ms
[Conn 77] sent: 1.4 GB, received: 1.4 GB, requests: 14285, responses: 14183 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681668ms
[Conn 78] sent: 1.4 GB, received: 1.4 GB, requests: 14275, responses: 14173 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681087ms
[Conn 79] sent: 1.4 GB, received: 1.4 GB, requests: 14281, responses: 14178 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.680636ms
[Conn 80] sent: 1.4 GB, received: 1.4 GB, requests: 14282, responses: 14179 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683772ms
[Conn 81] sent: 1.4 GB, received: 1.4 GB, requests: 14275, responses: 14173 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.687505ms
