--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 1.0 kB	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 90] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046329ms
[Conn 91] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037221ms
[Conn 92] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.01827ms
[Conn 93] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046164ms
[Conn 94] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028709ms
[Conn 95] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.018319ms
[Conn 96] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.045937ms
[Conn 97] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028595ms
[Conn 98] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.019401ms
[Conn 99] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036933ms
[Conn 100] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037162ms
[Conn 101] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037353ms
[Conn 102] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046315ms
[Conn 103] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037675ms
[Conn 104] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028173ms
[Conn 105] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046148ms
[Conn 106] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028177ms
[Conn 107] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028596ms
[Conn 108] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046372ms
[Conn 109] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037102ms
[Conn 110] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.045962ms
[Conn 111] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028719ms
[Conn 112] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.019449ms
[Conn 113] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028046ms
[Conn 114] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.018425ms
[Conn 115] sent: 4.5 MB, received: 4.5 MB, requests: 4382, responses: 4381 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.009618ms
[Conn 116] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.019388ms
[Conn 117] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046313ms
[Conn 118] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.03708ms
[Conn 119] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046207ms
[Conn 120] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027935ms
[Conn 121] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028169ms
[Conn 122] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.028549ms
[Conn 123] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036974ms
[Conn 124] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046003ms
[Conn 125] sent: 4.5 MB, received: 4.5 MB, requests: 4382, responses: 4381 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.010057ms
[Conn 126] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036971ms
[Conn 127] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.018686ms
[Conn 128] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027798ms
[Conn 129] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.038116ms
[Conn 130] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037717ms
[Conn 131] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037111ms
[Conn 132] sent: 4.5 MB, received: 4.5 MB, requests: 4381, responses: 4380 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.019354ms
[Conn 133] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046217ms
[Conn 134] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027932ms
[Conn 135] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037521ms
[Conn 136] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037954ms
[Conn 137] sent: 4.5 MB, received: 4.5 MB, requests: 4380, responses: 4379 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.027649ms
[Conn 138] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036573ms
[Conn 139] sent: 4.5 MB, received: 4.5 MB, requests: 4378, responses: 4377 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.046368ms
[Conn 140] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.038221ms
[Conn 141] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.036847ms
[Conn 142] sent: 4.5 MB, received: 4.5 MB, requests: 4379, responses: 4378 sent/sec: 24.9 kB recv/sec 24.9 kB req/sec: 24 res/sec 24 avg-res-time: 41.037186ms
