--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 256 B	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 65] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139405ms
[Conn 66] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139719ms
[Conn 67] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139569ms
[Conn 68] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139937ms
[Conn 69] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139731ms
[Conn 70] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139663ms
[Conn 71] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139817ms
[Conn 72] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.13985ms
[Conn 73] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139958ms
[Conn 74] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139929ms
[Conn 75] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139644ms
[Conn 76] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.14005ms
[Conn 77] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139881ms
[Conn 78] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139877ms
[Conn 79] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139871ms
[Conn 80] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139843ms
[Conn 81] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139787ms
[Conn 82] sent: 882.7 kB, received: 882.4 kB, requests: 3448, responses: 3447 sent/sec: 4.9 kB recv/sec 4.9 kB req/sec: 19 res/sec 19 avg-res-time: 52.139655ms
