--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 256 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 44] sent: 16.5 MB, received: 16.5 MB, requests: 64624, responses: 64623 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783782ms
[Conn 45] sent: 16.5 MB, received: 16.5 MB, requests: 64624, responses: 64623 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783753ms
[Conn 46] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783791ms
[Conn 47] sent: 16.5 MB, received: 16.5 MB, requests: 64622, responses: 64621 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783837ms
[Conn 48] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783793ms
[Conn 49] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.7838ms
[Conn 50] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783794ms
[Conn 51] sent: 16.5 MB, received: 16.5 MB, requests: 64629, responses: 64628 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783563ms
[Conn 52] sent: 16.5 MB, received: 16.5 MB, requests: 64620, responses: 64619 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 358 avg-res-time: 2.78392ms
[Conn 53] sent: 16.5 MB, received: 16.5 MB, requests: 64620, responses: 64619 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 358 avg-res-time: 2.783919ms
[Conn 54] sent: 16.5 MB, received: 16.5 MB, requests: 64624, responses: 64623 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.78375ms
[Conn 55] sent: 16.5 MB, received: 16.5 MB, requests: 64622, responses: 64621 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783835ms
[Conn 56] sent: 16.5 MB, received: 16.5 MB, requests: 64622, responses: 64621 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783834ms
[Conn 57] sent: 16.5 MB, received: 16.5 MB, requests: 64626, responses: 64625 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783666ms
